Files already downloaded and verified
Files already downloaded and verified
Epoch 1, lr 0.100000
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/torch/optim/lr_scheduler.py:113: UserWarning: Seems like `optimizer.step()` has been overridden after learning rate scheduler initialization. Please, make sure to call `optimizer.step()` before `lr_scheduler.step()`. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  "https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate", UserWarning)
09:22:24 train - loss: 2.2282, acc: 0.1650
Epoch 2, lr 0.126919
09:22:43 train - loss: 2.0421, acc: 0.2469
Epoch 3, lr 0.205041
09:23:02 train - loss: 2.0291, acc: 0.2834
Epoch 4, lr 0.326718
09:23:21 train - loss: 1.8297, acc: 0.3626
Epoch 5, lr 0.480041
09:23:40 train - loss: 1.7226, acc: 0.4140
Epoch 6, lr 0.650000
09:23:59 train - loss: 1.6333, acc: 0.4554
Epoch 7, lr 0.819959
09:24:18 train - loss: 1.5911, acc: 0.4776
Epoch 8, lr 0.973282
09:24:37 train - loss: 1.5198, acc: 0.5127
Epoch 9, lr 1.094959
09:24:56 train - loss: 1.5383, acc: 0.5013
Epoch 10, lr 1.173081
09:25:15 train - loss: 1.4515, acc: 0.5422
09:25:19 valid - loss: 0.8899, acc: 0.7283
Epoch 11, lr 1.200000
09:25:38 train - loss: 1.2747, acc: 0.6168
Epoch 12, lr 1.199992
09:25:57 train - loss: 1.3447, acc: 0.5790
Epoch 13, lr 1.199966
09:26:16 train - loss: 1.2669, acc: 0.6148
Epoch 14, lr 1.199924
09:26:35 train - loss: 1.2122, acc: 0.6426
Epoch 15, lr 1.199864
09:26:54 train - loss: 1.2381, acc: 0.6271
Epoch 16, lr 1.199788
09:27:13 train - loss: 1.2963, acc: 0.6080
Epoch 17, lr 1.199694
09:27:32 train - loss: 1.1882, acc: 0.6481
Epoch 18, lr 1.199584
09:27:51 train - loss: 1.1614, acc: 0.6551
Epoch 19, lr 1.199456
09:28:09 train - loss: 1.2221, acc: 0.6210
Epoch 20, lr 1.199312
09:28:28 train - loss: 1.2145, acc: 0.6255
09:28:30 valid - loss: 0.6702, acc: 0.8575
Epoch 21, lr 1.199150
09:28:49 train - loss: 1.1831, acc: 0.6383
Epoch 22, lr 1.198972
09:29:08 train - loss: 1.2181, acc: 0.6272
Epoch 23, lr 1.198777
09:29:27 train - loss: 1.0200, acc: 0.7079
Epoch 24, lr 1.198564
09:29:46 train - loss: 1.1164, acc: 0.6655
Epoch 25, lr 1.198335
09:30:05 train - loss: 1.1882, acc: 0.6347
Epoch 26, lr 1.198089
09:30:24 train - loss: 1.0961, acc: 0.6704
Epoch 27, lr 1.197826
09:30:43 train - loss: 1.2088, acc: 0.6180
Epoch 28, lr 1.197546
09:31:02 train - loss: 1.1146, acc: 0.6566
Epoch 29, lr 1.197249
09:31:21 train - loss: 1.0086, acc: 0.7055
Epoch 30, lr 1.196935
09:31:40 train - loss: 1.2238, acc: 0.6060
09:31:42 valid - loss: 0.5630, acc: 0.8726
Epoch 31, lr 1.196604
09:32:01 train - loss: 1.0615, acc: 0.6802
Epoch 32, lr 1.196256
09:32:20 train - loss: 1.0095, acc: 0.7001
Epoch 33, lr 1.195891
09:32:39 train - loss: 1.0289, acc: 0.6964
Epoch 34, lr 1.195510
09:32:58 train - loss: 1.1051, acc: 0.6674
Epoch 35, lr 1.195111
09:33:17 train - loss: 0.9605, acc: 0.7193
Epoch 36, lr 1.194696
09:33:36 train - loss: 1.0725, acc: 0.6772
Epoch 37, lr 1.194264
